id,name,host_id,host_name_primary,host_name_secondary,neighbourhood,location_id,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,quality_minimum_nights_long,quality_availability_365,quality_price_outlier,quality_last_review_ismissing,quality_reviews_per_month_ismissing,quality_num_missing
2384,Hyde Park Walk To Uchicago/ Theological Seminary,2613,Rebecca,,Hyde Park,6827,41.7888649,-87.58670891,Private room,50.0,2,137,2018-11-12,2.92,1,163,False,False,False,False,False,0
6715,Lincoln Park Oasis Unit 2 Only,15365,Reem,,O'hare,5334,41.92926222,-87.66009125,Entire home/apt,255.0,4,93,2018-08-12,0.81,2,303,False,False,False,False,False,0
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,2894,41.90289494,-87.6818216,Entire home/apt,80.0,2,321,2018-10-29,2.81,1,362,False,False,False,False,False,0
9811,Barbara'S Hideaway Old Town,33004,At Home Inn,,Lincoln Park,7010,41.91768924,-87.63787944,Entire home/apt,150.0,3,33,2018-10-14,0.59,9,350,False,False,False,False,False,0
10610,3 Comforts Of Cooperative Living,2140,Lois,Ed,Hyde Park,5242,41.79708495,-87.59194894,Private room,35.0,2,31,2018-07-29,0.63,5,179,False,False,False,False,False,0
10945,The Biddle House #1,33004,At Home Inn,,Lincoln Park,2015,41.91182685,-87.63999816,Entire home/apt,215.0,3,9,2018-11-05,0.16,9,357,False,False,False,False,False,0
12068,Chicago Gold Coast 1 Bedroom Condo,40731,Dominic,,Near North Side,1909,41.9045209,-87.63320022,Entire home/apt,99.0,165,8,2017-10-24,0.18,2,303,False,False,False,False,False,0
12140,Lincoln Park Guest House,46734,Sharon,Robert,Lincoln Park,2192,41.92335308,-87.64950966,Private room,289.0,2,4,2018-10-17,0.1,1,169,False,False,False,False,False,0
22362,Luxury In Chicago 2Br/ 2Ba / Parking / Bbq,85811,Craig,,West Town,711,41.89616805,-87.66041074,Entire home/apt,99.0,60,9,2014-10-12,0.15,1,280,False,False,False,False,False,0
22651,Beautifully Furnished 3 Bed/ 1Bath 1,87231,Jeff,Joanne,Lake View,1029,41.94910517,-87.65790583,Entire home/apt,185.0,1,174,2018-10-21,1.69,17,71,False,False,False,False,False,0
24833,Private Apt 1 Block To Fullerton L Red Line Deck,101521,Red,,Lincoln Park,590,41.92679107,-87.65521134,Entire home/apt,99.0,32,37,2018-07-29,0.36,4,341,False,False,False,False,False,0
25267,Wrigleyville Beautifully Furnished 3 Bedroom #2,87231,Jeff,Joanne,Lake View,7265,41.94750674,-87.65928449,Entire home/apt,105.0,1,166,2018-10-21,1.67,17,64,False,False,False,False,False,0
25269,"Old Town, Furnished 2 Bedroom: Swg",87231,Jeff,Joanne,Lincoln Park,2500,41.9142263,-87.63846122,Entire home/apt,115.0,1,172,2018-10-15,1.68,17,165,False,False,False,False,False,0
25879,Top 2/ 1 Block To Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,406,41.92693453,-87.65752711,Entire home/apt,99.0,32,43,2017-09-18,0.42,4,162,False,False,False,False,False,0
37738,Andersonville Perfect Location,162364,Mat,Randy,Uptown,4572,41.97384553,-87.66538939,Private room,74.0,3,240,2018-10-29,2.37,1,234,False,False,False,False,False,0
39742,Central Guestroom Walk Everywhere,170758,Eric,,Near North Side,1998,41.8937749,-87.63465211,Private room,75.0,3,452,2018-10-21,4.59,1,17,False,False,False,False,False,0
